Row Labels,Sum of GME,Sum of Gamestop,Sum of hold_the_line,Sum of to_the_moon,Sum of sum
1/30/2021,5740,1029,268,912,7949
1/31/2021,2615,405,136,480,3636
(blank),,,,,
Grand Total,8355,1434,404,1392,11585
