Row Labels,Sum of GME,Sum of Gamestop,Sum of hold_the_line,Sum of to_the_moon,Sum of sum
1/26/2021,1219,114,30,270,1633
1/27/2021,122,10,6,31,169
Grand Total,1341,124,36,301,1802
